Membership No  Date Joined  Active  
    70014      2017-7-12    no    
    95162      2015-7-23    no    
    23711      2018-5-3     no    
    67788      2020-7-2     no    
    39988      2016-6-14    no    
    96953      2017-1-8     no    
    59580      2020-6-5     no    
    42943      2019-3-2     no    
    28774      2018-11-6    no    
    89341      2017-6-11    no    
    34806      2017-2-17    no    
    72281      2019-11-8    no    
    10717      2015-1-3     no    
    64781      2019-12-18   no    
    49975      2019-3-13    no    
